id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,27050,27050,27050.0, 36 months, 10.99%,885.46,B,B2,Team Leadern Customer Ops & Systems,10+ years,OWN,55000.0,Verified,Dec-2013,Fully Paid,n,,  Borrower added on 12/31/13 > Combining high interest credit cards to lower interest rate.<br>,debt_consolidation,Debt Consolidation,481xx,MI,22.87,0,Oct-1986,0,,,14,0,36638,61.2%,27,w,0.0,0.0,31752.53,31752.53,27050.0,4702.53,0.0,0.0,0.0,Jul-2016,6074.19,,Sep-2017,0,,1,Individual,,,,0,0.0,114834.0,,,,,,,,,,,,59900.0,,,,3.0,9570.0,16473.0,53.9,0,0,117.0,326.0,16.0,6.0,4.0,16.0,,8.0,,0.0,2.0,4.0,4.0,8.0,8.0,10.0,15.0,4.0,14.0,0.0,0.0,0.0,1.0,100.0,25.0,0,0,138554.0,70186.0,35700.0,33054.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,4800,4800,4800.0, 36 months, 10.99%,157.13,B,B2,Surgical Technician,2 years,MORTGAGE,39600.0,Source Verified,Dec-2013,Fully Paid,n,,"  Borrower added on 12/31/13 > Just bought a house, and would like a little extra funds to improve aspects of the house such as, duct work, electrical outlets, backyard, and other minor areas.<br>",home_improvement,For The House,782xx,TX,2.49,0,Aug-1995,2,,,3,0,4136,16.1%,8,w,0.0,0.0,5157.51945672,5157.52,4800.0,357.52,0.0,0.0,0.0,Sep-2014,3900.48,,Jan-2017,0,,1,Individual,,,,0,0.0,4136.0,,,,,,,,,,,,25700.0,,,,0.0,1379.0,21564.0,16.1,0,0,104.0,220.0,25.0,25.0,0.0,25.0,,3.0,,0.0,2.0,2.0,3.0,4.0,1.0,3.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,25700.0,4136.0,25700.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7550,7550,7550.0, 36 months, 16.24%,266.34,C,C5,Special Order Fulfillment Clerk,3 years,RENT,28000.0,Not Verified,Dec-2013,Fully Paid,n,,,debt_consolidation,Debt consolidation,951xx,CA,8.4,0,Oct-2010,0,,,4,0,5759,72%,5,w,0.0,0.0,9600.45463111,9600.45,7550.0,2050.45,0.0,0.0,0.0,Dec-2016,529.67,,Dec-2017,0,,1,Individual,,,,0,0.0,5759.0,,,,,,,,,,,,8000.0,,,,1.0,1440.0,160.0,96.0,0,0,,38.0,17.0,17.0,0.0,17.0,,17.0,,0.0,2.0,4.0,2.0,2.0,0.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,8000.0,5759.0,4000.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,27600,27600,27600.0, 60 months, 19.97%,730.78,D,D5,Street Operations Supervisor,6 years,MORTGAGE,73000.0,Source Verified,Dec-2013,Charged Off,n,,  Borrower added on 12/31/13 > I had some water main break and sewer replacement that ran up my Credit cards. I want to consolidate the Credit cards pay off one loan and refurbish my bathrooms.<br><br> Borrower added on 12/31/13 > I had two water main breaks one sewer and one clean water and the cost ran up credit cards expenditures.  I want to consolidate the credit cards with a set payment and upgrade my two bathrooms and water heater.<br><br> Borrower added on 12/31/13 > Consolidate credet cards and upgrade bathrooms.<br><br> Borrower added on 12/31/13 > Consolidate credit cards and upgrade two bathrooms.I have been at this job for six years and the job before this one for 24 years. This will make my finances easier to manage. It will provide more efficient bathroom equipment and water heater.<br>,debt_consolidation,Consolidation of debt and home improve. ,802xx,CO,23.13,1,Jun-1989,1,7.0,,10,0,27003,82.8%,24,f,0.0,0.0,30303.0899865,30303.09,14738.17,13762.25,0.0,1802.67,324.480600004,Apr-2017,730.78,,Dec-2017,0,7.0,1,Individual,,,,0,0.0,241609.0,,,,,,,,,,,,32600.0,,,,2.0,24161.0,4853.0,74.7,1,0,173.0,294.0,4.0,4.0,4.0,4.0,7.0,6.0,7.0,3.0,5.0,7.0,5.0,11.0,4.0,7.0,16.0,7.0,10.0,0.0,0.0,1.0,1.0,87.5,80.0,0,0,261675.0,37808.0,19200.0,14075.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8000,8000,8000.0, 36 months, 10.99%,261.88,B,B2,PARTS MANAGER,2 years,MORTGAGE,33000.0,Not Verified,Dec-2013,Charged Off,n,,,debt_consolidation,My Life Saving Loan :),800xx,CO,15.75,0,Jul-1991,1,,104.0,9,1,7203,34.6%,16,f,0.0,0.0,5622.5,5622.5,3854.81,1120.22,15.0,632.47,113.7204,Oct-2015,276.88,,Oct-2016,0,,1,Individual,,,,0,0.0,15949.0,,,,,,,,,,,,20800.0,,,,2.0,1772.0,2255.0,72.5,0,0,129.0,269.0,14.0,14.0,0.0,18.0,,6.0,,0.0,3.0,5.0,4.0,7.0,2.0,8.0,14.0,5.0,9.0,0.0,0.0,0.0,0.0,100.0,75.0,1,0,33226.0,15949.0,8200.0,12426.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,15000.0, 36 months, 14.47%,516.1,C,C2,building maint. mgr.,10+ years,RENT,98000.0,Not Verified,Dec-2013,Fully Paid,n,,  Borrower added on 12/31/13 > just to have one payment each month.<br>,debt_consolidation,pay off,117xx,NY,6.15,0,Jul-1992,2,,,16,0,5749,22.3%,16,f,0.0,0.0,15699.0518212,15699.05,15000.0,699.05,0.0,0.0,0.0,May-2014,14150.76,,Dec-2017,0,,1,Individual,,,,0,0.0,13038.0,,,,,,,,,,,,25800.0,,,,6.0,815.0,15051.0,27.6,0,0,2.0,257.0,7.0,2.0,0.0,7.0,,2.0,,0.0,8.0,8.0,13.0,13.0,1.0,15.0,15.0,8.0,16.0,0.0,0.0,0.0,2.0,100.0,7.7,0,0,33300.0,13038.0,20800.0,7500.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000.0, 36 months,  7.62%,373.94,A,A3,Systems Engineer,3 years,MORTGAGE,96500.0,Not Verified,Dec-2013,Fully Paid,n,,"  Borrower added on 12/31/13 > Bought a new house, furniture, water softener, a second car, etc. Got our lives started and now a manageable monthly payment will help keep them going!<br>",debt_consolidation,Debt Consolidation and Credit Transfer,782xx,TX,12.61,0,Sep-2003,0,,,17,0,13248,55.7%,30,f,0.0,0.0,13397.5399978,13397.54,12000.0,1397.54,0.0,0.0,0.0,Jun-2016,2927.22,,Dec-2017,0,,1,Individual,,,,0,0.0,200314.0,,,,,,,,,,,,23800.0,,,,4.0,11783.0,2441.0,83.5,0,0,123.0,118.0,10.0,9.0,1.0,10.0,,10.0,,0.0,4.0,5.0,4.0,10.0,15.0,8.0,14.0,5.0,17.0,0.0,0.0,0.0,3.0,100.0,100.0,0,0,233004.0,46738.0,14800.0,53404.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9750,9750,9750.0, 36 months, 13.98%,333.14,C,C1,Medical Assistant,1 year,RENT,26000.0,Not Verified,Dec-2013,Fully Paid,n,,"  Borrower added on 12/31/13 > While being in college there were expenses that I had to make. At the moment it seemed easy to buy thing on credit, but now that I'm full-time employee paying all credit cards seem impossible and it'll be great to make one consolidated payment to one firm with knowing its for a set amount of months.<br>",debt_consolidation,Debt Consilation,927xx,CA,25.12,0,Jan-2007,0,,,12,0,7967,52.8%,28,f,0.0,0.0,11989.9800054,11989.98,9750.0,2239.98,0.0,0.0,0.0,Dec-2016,663.22,,Dec-2017,0,,1,Individual,,,,0,0.0,14123.0,,,,,,,,,,,,15100.0,,,,2.0,1177.0,1752.0,75.7,0,0,67.0,83.0,12.0,12.0,0.0,12.0,,20.0,,0.0,6.0,7.0,6.0,11.0,8.0,9.0,20.0,7.0,12.0,0.0,0.0,0.0,2.0,100.0,66.7,0,0,21314.0,14123.0,7200.0,6214.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,11100,11100,11100.0, 36 months, 14.98%,384.68,C,C3,Teacher,10+ years,MORTGAGE,90000.0,Not Verified,Dec-2013,Fully Paid,n,,,other,Other,103xx,NY,3.73,1,Jun-2001,0,16.0,,9,0,6619,66.2%,12,f,0.0,0.0,13575.6400057,13575.64,11100.0,2475.64,0.0,0.0,0.0,Feb-2016,4343.32,,Aug-2016,0,16.0,1,Individual,,,,0,0.0,353402.0,,,,,,,,,,,,10000.0,,,,2.0,39267.0,1016.0,74.6,0,0,,150.0,11.0,11.0,1.0,11.0,35.0,11.0,35.0,1.0,4.0,8.0,4.0,4.0,0.0,8.0,11.0,8.0,9.0,0.0,0.0,1.0,1.0,75.0,50.0,0,0,385000.0,6619.0,4000.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,15000.0, 36 months,  8.90%,476.3,A,A5,aircraft maintenance engineer,2 years,MORTGAGE,63000.0,Not Verified,Dec-2013,Fully Paid,n,,  Borrower added on 12/31/13 > To pay Home Depot Credit Services card for my recent kitchen upgrade and pay off my Capital One credit card balance<br>,debt_consolidation,Pay off,334xx,FL,16.51,0,Mar-1998,0,34.0,,8,0,11431,74.2%,29,w,0.0,0.0,17146.7251036,17146.73,15000.0,2146.73,0.0,0.0,0.0,Jan-2017,476.23,,Dec-2016,0,34.0,1,Individual,,,,0,1514.0,272492.0,,,,,,,,,,,,15400.0,,,,3.0,38927.0,2969.0,79.1,0,0,147.0,189.0,24.0,13.0,4.0,24.0,75.0,12.0,75.0,3.0,3.0,4.0,3.0,10.0,8.0,6.0,17.0,4.0,8.0,0.0,0.0,0.0,0.0,89.3,66.7,0,0,288195.0,39448.0,14200.0,33895.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
