id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
113516252,,7000.0,7000.0,7000.0, 36 months,  7.35%,217.27,A,A4,Sales Manager,1 year,RENT,60000.0,Not Verified,Aug-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=113516252,,small_business,Business,282xx,NC,11.0,0.0,Oct-2006,780.0,784.0,0.0,,,6.0,0.0,6895.0,16%,8.0,f,5789.63,5789.63,1366.22,1366.22,1210.37,155.85,0.0,0.0,0.0,Dec-2017,217.27,Jan-2018,Dec-2017,789.0,785.0,0.0,,1.0,Individual,,,,0.0,0.0,10794.0,0.0,1.0,0.0,0.0,49.0,3899.0,24.0,0.0,1.0,4896.0,18.0,43100.0,0.0,1.0,0.0,1.0,1799.0,32509.0,16.6,0.0,0.0,129.0,117.0,21.0,21.0,0.0,21.0,,21.0,,0.0,4.0,5.0,4.0,4.0,2.0,5.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59610.0,10794.0,39000.0,16510.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
114502937,,10000.0,10000.0,10000.0, 36 months, 19.03%,366.72,D,D3,Manager,1 year,MORTGAGE,46800.0,Not Verified,Jul-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114502937,,credit_card,Credit card refinancing,479xx,IN,24.47,0.0,Feb-1995,690.0,694.0,3.0,,88.0,16.0,1.0,9278.0,34.9%,30.0,w,9147.44,9147.44,1456.31,1456.31,852.56,603.75,0.0,0.0,0.0,Dec-2017,366.72,Jan-2018,Dec-2017,729.0,725.0,0.0,,1.0,Individual,,,,0.0,574.0,123105.0,4.0,2.0,2.0,2.0,6.0,41616.0,90.0,4.0,7.0,5437.0,70.0,26600.0,3.0,6.0,11.0,9.0,8207.0,8801.0,45.3,0.0,0.0,143.0,269.0,0.0,0.0,2.0,0.0,,1.0,,0.0,3.0,6.0,5.0,8.0,11.0,13.0,17.0,6.0,16.0,0.0,0.0,0.0,6.0,100.0,0.0,1.0,0.0,159625.0,50894.0,16100.0,46025.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
114171276,,5000.0,5000.0,5000.0, 36 months, 12.62%,167.56,C,C1,Quality Analyst,2 years,RENT,73000.0,Verified,Jul-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114171276,,moving,Moving and relocation,212xx,MD,19.48,0.0,Sep-2006,715.0,719.0,0.0,,,9.0,0.0,14865.0,88.5%,22.0,w,4532.79,4532.79,666.73,666.73,467.21,199.52,0.0,0.0,0.0,Dec-2017,167.56,Jan-2018,Dec-2017,699.0,695.0,0.0,,1.0,Individual,,,,0.0,0.0,87352.0,0.0,7.0,0.0,0.0,40.0,72487.0,80.0,0.0,0.0,11981.0,82.0,16800.0,0.0,0.0,0.0,0.0,9706.0,1935.0,88.5,0.0,0.0,130.0,107.0,58.0,40.0,0.0,58.0,,,,0.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,102557.0,87352.0,16800.0,85757.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
114508454,,1600.0,1600.0,1600.0, 36 months, 13.59%,54.37,C,C2,Director of Admissions ,6 years,MORTGAGE,83000.0,Source Verified,Jul-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114508454,,credit_card,Credit card refinancing,775xx,TX,23.02,0.0,Jun-2003,705.0,709.0,0.0,,,15.0,0.0,14616.0,81.7%,26.0,f,1452.52,1452.52,217.48,217.48,147.48,70.0,0.0,0.0,0.0,Dec-2017,54.37,Jan-2018,Dec-2017,704.0,700.0,0.0,,1.0,Individual,,,,0.0,0.0,265657.0,0.0,10.0,0.0,5.0,16.0,47654.0,69.0,0.0,1.0,6287.0,72.0,17900.0,0.0,0.0,1.0,6.0,17710.0,0.0,100.3,0.0,0.0,165.0,169.0,23.0,16.0,2.0,43.0,,9.0,,0.0,3.0,4.0,3.0,3.0,20.0,4.0,4.0,4.0,15.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,300761.0,62270.0,13900.0,69111.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
114257471,,12000.0,12000.0,12000.0, 36 months, 13.59%,407.75,C,C2,,n/a,RENT,38893.0,Verified,Aug-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114257471,,debt_consolidation,Debt consolidation,436xx,OH,22.49,0.0,Mar-2005,660.0,664.0,0.0,,88.0,8.0,1.0,13454.0,77.3%,17.0,w,10893.99,10893.99,1612.88,1612.88,1106.01,506.87,0.0,0.0,0.0,Dec-2017,407.75,Jan-2018,Dec-2017,729.0,725.0,0.0,,1.0,Individual,,,,0.0,0.0,22059.0,0.0,2.0,1.0,3.0,11.0,8605.0,64.0,0.0,2.0,3238.0,72.0,17400.0,1.0,7.0,1.0,5.0,2757.0,1283.0,86.1,0.0,0.0,111.0,148.0,22.0,11.0,0.0,22.0,,11.0,,0.0,3.0,6.0,3.0,6.0,6.0,6.0,11.0,6.0,8.0,0.0,0.0,0.0,1.0,100.0,66.7,1.0,0.0,30795.0,22059.0,9200.0,13395.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
114507777,,40000.0,40000.0,40000.0, 36 months,  7.21%,1238.93,A,A3,Executive Vice President ,1 year,RENT,650000.0,Verified,Jul-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114507777,,debt_consolidation,Debt consolidation,151xx,PA,8.1,4.0,Jan-2001,695.0,699.0,0.0,16.0,8.0,20.0,2.0,24954.0,38.2%,51.0,w,35969.47,35969.47,4939.7,4939.7,4030.53,909.17,0.0,0.0,0.0,Dec-2017,1238.93,Jan-2018,Dec-2017,644.0,640.0,0.0,45.0,1.0,Individual,,,,0.0,0.0,236680.0,1.0,12.0,1.0,3.0,2.0,211726.0,72.0,0.0,0.0,12359.0,57.0,65400.0,3.0,1.0,15.0,3.0,12457.0,33746.0,42.5,0.0,0.0,181.0,190.0,25.0,2.0,2.0,25.0,,3.0,16.0,1.0,3.0,3.0,5.0,6.0,37.0,7.0,11.0,3.0,19.0,0.0,0.0,0.0,1.0,83.0,40.0,0.0,2.0,325401.0,236680.0,58700.0,260001.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
114993123,,20000.0,20000.0,20000.0, 36 months, 13.59%,679.58,C,C2,Windows installation,2 years,RENT,64000.0,Not Verified,Aug-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114993123,,debt_consolidation,Debt consolidation,802xx,CO,21.79,0.0,Jun-2001,675.0,679.0,0.0,,,6.0,0.0,21093.0,91.3%,8.0,f,18156.66,18156.66,2816.47,2816.47,1843.34,973.13,0.0,0.0,0.0,Dec-2017,679.58,Jan-2018,Dec-2017,719.0,715.0,0.0,,1.0,Individual,,,,0.0,0.0,193226.0,0.0,1.0,0.0,1.0,18.0,22389.0,79.0,1.0,1.0,9843.0,85.0,23100.0,0.0,0.0,1.0,2.0,32204.0,455.0,97.7,0.0,0.0,136.0,180.0,9.0,9.0,1.0,25.0,,9.0,,1.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,6.0,0.0,0.0,0.0,1.0,87.5,100.0,0.0,0.0,236803.0,43482.0,20200.0,28314.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
114407497,,2975.0,2975.0,2975.0, 36 months,  7.97%,93.19,A,A5,factory,10+ years,RENT,50000.0,Not Verified,Jul-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114407497,,debt_consolidation,Debt consolidation,458xx,OH,27.22,0.0,Oct-2005,695.0,699.0,0.0,,,8.0,0.0,8742.0,68%,23.0,w,2678.34,2678.34,371.44,371.44,296.66,74.78,0.0,0.0,0.0,Dec-2017,93.19,Jan-2018,Dec-2017,724.0,720.0,0.0,,1.0,Individual,,,,0.0,0.0,37343.0,0.0,2.0,1.0,2.0,11.0,28601.0,78.0,0.0,1.0,6162.0,68.0,12800.0,0.0,0.0,1.0,3.0,4667.0,2867.0,96.0,0.0,0.0,111.0,141.0,14.0,11.0,0.0,14.0,,11.0,,0.0,3.0,6.0,7.0,7.0,12.0,6.0,11.0,4.0,8.0,,0.0,0.0,1.0,100.0,100.0,0.0,0.0,49497.0,37343.0,8600.0,36697.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
115055994,,13200.0,13200.0,13200.0, 36 months,  9.44%,422.47,B,B1,Software Developer,1 year,MORTGAGE,81000.0,Not Verified,Aug-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=115055994,,credit_card,Credit card refinancing,720xx,AR,20.19,1.0,Oct-2005,690.0,694.0,3.0,4.0,,20.0,0.0,6574.0,21.4%,38.0,f,11910.36,11910.36,1682.96,1682.96,1289.64,393.32,0.0,0.0,0.0,Dec-2017,422.47,Jan-2018,Dec-2017,709.0,705.0,0.0,,1.0,Individual,,,,0.0,228.0,203101.0,0.0,15.0,2.0,3.0,10.0,58802.0,74.0,0.0,1.0,2839.0,59.0,30700.0,2.0,4.0,11.0,4.0,10155.0,22761.0,11.1,0.0,0.0,141.0,120.0,24.0,10.0,1.0,24.0,,0.0,4.0,0.0,1.0,2.0,2.0,4.0,27.0,4.0,9.0,2.0,20.0,0.0,0.0,0.0,2.0,97.4,0.0,0.0,0.0,263564.0,65376.0,25600.0,79639.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
114508783,,12000.0,12000.0,12000.0, 36 months,  7.21%,371.68,A,A3,Environmental Engineer,2 years,MORTGAGE,63000.0,Not Verified,Jul-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=114508783,,debt_consolidation,Debt consolidation,300xx,GA,21.07,0.0,Jun-2005,750.0,754.0,0.0,,,9.0,0.0,20247.0,70.5%,16.0,w,10790.84,10790.84,1481.91,1481.91,1209.16,272.75,0.0,0.0,0.0,Dec-2017,371.68,Jan-2018,Dec-2017,734.0,730.0,0.0,,1.0,Individual,,,,0.0,0.0,168645.0,0.0,4.0,0.0,0.0,28.0,18079.0,49.0,1.0,1.0,6988.0,59.0,28700.0,0.0,1.0,2.0,2.0,18738.0,6545.0,54.2,0.0,0.0,90.0,145.0,12.0,12.0,2.0,40.0,,12.0,,0.0,2.0,4.0,2.0,2.0,10.0,4.0,4.0,4.0,9.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,199269.0,38326.0,14300.0,36596.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
